City,area,population,state,district,world,new,national,century,known,town,government,major,south,temple,people,capital,international,north,university,region,Rating
Rohtak,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.29
Kurukshetra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3.87
Narnaul,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,2.33
Hisar (city),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Faridabad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.71
Gurgaon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.14
Jaipur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.36
Jhalawar,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,4.0
Bhawani Mandi,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,4.5
Ramdevra,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,4.5
Banswara,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.75
Hanumangarh,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,4.0
Pali,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25
Bundi,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3.67
Jhunjhunu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,4.33
Dausa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3.0
Bhilwara,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Sawai Madhopur,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3.0
Sirohi,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,4.0
Barmer  Rajasthan,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,4.33
Bharatpur  Rajasthan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75
Mount Abu,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3.83
Alwar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.36
Bhangarh,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,3.07
Pushkar,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.16
Ranakpur,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,4.63
Nathdwara,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,4.43
Udaipur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.51
