City,Mountain,Desert,Waterfall,Beach,River,Workship-place,Climate,Zoo,Park,Travel,Archaelogical-site,Festival,Pollution,Tourist,Cuisine,Safety,Museum,Stadium,Market,Concert,Rating
Munich,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Frankfurt,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,3.5
Dresden,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,4.5
Cologne,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,4
Berlin,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,4.5
Ireland,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,5.0
Piedmont,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,4.5
Verona,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4.5
Turin,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,4
Pompeii,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,4.5
Venice,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,4.5
Rome,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,5.0
Milan,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,4.5
Florence,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,4.5
Monte Carlo,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,4
Rotterdam,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,4
Amsterdam,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,4.5
Warsaw,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,4.5
Bucharest,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,4.5
Slovakia,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,4.5
Slovenia,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,3.5
Sevilla,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,4.5
Mallorca,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,4.5
Madrid,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.5
Ibiza,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,4.5
Barcelona,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,4
Stockholm,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,4
Lucerne,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,4.5
Zurich,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,4.5
Geneva,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,4.5
Newcastle Upon Tyne,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,4
Nottinghamshire,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,3.5
Filey,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
The Isle of Wight,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,4.5
Bradford,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,4
Cardiff,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,4
Glasgow,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,4.5
Edinburg  Texas,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,5.0
Plymouth,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,3.5
Cambridge,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,4.5
Oxford,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,4
Manchester,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,4.5
London,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,4.5
